date,open,high,low,close,volume,weekday,day,month,sma_14,ema_14,macd,adx,rsi,stoch,roc,obv,mfi,bb_bbm,bb_bbh,bb_bbl,atr,ret1,mov1
1987-08-12,0.372528,0.374364,0.36292,0.366813,191402845,2,12,8,0.330399,0.33818925277902756,0.014205429611604925,25.775982161368535,70.46255665794072,85.68298121914438,15.514189980727325,29131573083,77.51589117053307,0.3269473,0.3680003188030089,0.2858942811969911,0.012992917982387057,0.004954813195584788,1
1987-08-13,0.366813,0.37792,0.364774,0.368635,232607583,3,13,8,0.33392407142857145,0.3422486857418239,0.01534576484652267,27.466034506234127,70.99607778598183,88.03155493110249,17.112494837500396,29364180666,78.78291640910575,0.3288552,0.3737536535706989,0.28395674642930113,0.013003852412216552,0.0,0
1987-08-14,0.364774,0.376156,0.361147,0.368635,124438398,4,14,8,0.3375731428571429,0.34576686097624737,0.016064309377053387,28.60381862198995,70.99607778598183,88.03155493110249,19.691351611101734,29488619064,73.48042915646805,0.33103745,0.3791032467393677,0.28297165326063234,0.01314707723991537,0.010505208172459951,1
1987-08-17,0.372528,0.376156,0.366813,0.372528,172794200,0,17,8,0.3416987142857143,0.3493350128460811,0.01675475526989595,29.66033244376322,72.23865838698013,93.04966550226227,19.479269900222278,29661413264,78.15367243382394,0.33396975,0.3845796160139524,0.2833598839860476,0.012875357437064272,-0.015460021368044587,0
1987-08-18,0.370539,0.372528,0.36292,0.366813,281787461,1,18,8,0.3459005,0.3516654111332703,0.016648868088847857,30.150598119360627,67.65626499050458,85.68298121914438,18.330973034527027,29379625803,72.11661583997301,0.33676815000000004,0.38813759003306075,0.28539870996693933,0.012641974762988254,0.025151769550509538,1
1987-08-19,0.372528,0.376156,0.368635,0.376156,79365721,2,19,8,0.35049785714285714,0.35493082298216766,0.01712148789755552,30.81387852446147,70.9055489300844,97.726188788203,24.35402396128111,29458991524,71.834842295156,0.33961175,0.3930497193733793,0.2861737806266207,0.012406333708489092,0.03470585883680455,1
1987-08-20,0.37792,0.394801,0.374364,0.38944,208682209,3,20,8,0.35617292857142857,0.3595320465845453,0.018356349708964048,32.305850315129284,74.7843295355414,94.32458183358035,22.639726907428173,29667673733,73.48234040326552,0.34338965000000005,0.39962747845834495,0.28715182154165514,0.012979952729311304,0.02361230503632286,1
1987-08-21,0.38944,0.40443,0.387655,0.398745,166148272,4,21,8,0.3630484285714286,0.3647604403732726,0.019856924065948356,34.040484125996066,77.08848148499108,94.53832777719067,22.694544447521466,29833822005,77.06777768890416,0.3473627,0.40733085260486385,0.2873945473951362,0.013251027534360495,-0.014392917241563753,0
1987-08-24,0.398745,0.402694,0.393047,0.393047,143552109,0,24,8,0.3684412142857143,0.36853198165683626,0.02035175669246364,35.651215521800935,72.70712759087634,87.21571446220192,13.098588307061911,29690269896,71.49473172867083,0.35113764999999997,0.4126096446228381,0.2896656553771618,0.012993596996191889,-0.004822740196610866,0
1987-08-25,0.396941,0.400497,0.391156,0.391156,162160688,1,25,8,0.37316735714285715,0.37154851743592476,0.02035666821816695,36.89482198569702,71.25963547598327,84.02012833014312,11.950452345585727,29528109208,65.4158764259878,0.35495695,0.4164079905688158,0.2935059094311842,0.012732697210749612,0.0,0
