date,open,high,low,close,volume,weekday,day,month,sma_14,ema_14,macd,adx,rsi,stoch,roc,obv,mfi,bb_bbm,bb_bbh,bb_bbl,atr,ret1,mov1
2008-10-20,7.52216,8.29079,7.46417,8.2835,20730623.485967,0,20,10,7.679157857142856,7.812760118033685,-0.6284936458396473,36.19029263657991,48.9097422898297,73.75964611109843,-3.746602633300534,588947777.0812927,39.17697846958801,8.22085,10.28159436571847,6.16010563428153,0.6674446003060422,-0.06342801345488526,0
2008-10-21,8.17657,8.19637,7.685,7.77441,16125118.369845,1,21,10,7.596232142857143,7.8076467689625275,-0.5778647422892664,34.28829506295221,44.38619646862923,59.12739718182704,-9.77582087023329,572822658.7114477,40.2693875114735,8.135565500000002,10.12058267355277,6.150548326447234,0.6625199859984677,-0.056235221698812135,0
2008-10-22,7.685,7.685,7.12992,7.34928,22128949.247825,2,22,10,7.506471428571429,7.746531199767524,-0.5655263734986349,33.23841287597381,40.977843320680414,46.46950931926563,-8.056652659049421,550693709.4636227,41.108669300166554,8.0245935,9.922986676739587,6.126200323260413,0.66123212985572,0.0839975883877203,1
2008-10-23,7.39722,8.09103,7.28281,7.99327,39121177.395479,3,23,10,7.461935714285715,7.779429706465187,-0.49804239369402303,31.57734697221826,47.5483365991722,76.31563687533098,3.265151094304915,589814886.8591017,48.42594216945169,7.930758,9.630105585017386,6.231410414982615,0.6717312634374543,-0.03852181928653718,0
2008-10-24,7.34365,7.99169,7.25654,7.69121,28934507.927811,4,24,10,7.44036,7.767667078936496,-0.46359058736626135,30.070715629687147,45.01695403345147,68.52130366897657,4.7327963614823645,560880378.9312906,48.38282462511558,7.8229515,9.278325192647843,6.367577807352157,0.6763740303347789,-0.060213847566203856,0
2008-10-27,7.46417,7.59945,7.22965,7.24176,34456927.938698,0,27,10,7.404733571428571,7.697546135078297,-0.4671689090483149,28.710691441050773,41.478464036529815,50.10265594072592,4.0321329448878656,526423450.99259263,48.00053332958889,7.725630000000001,9.057924324599643,6.393335675400358,0.6610301710251518,0.10402859902469008,1
2008-10-28,7.38827,8.0987,7.23615,8.03569,23925030.344143,1,28,10,7.454165000000001,7.742631983734524,-0.40131512792686586,26.733931985681828,49.09088695623211,82.6382371864486,21.72687350126717,550348481.3367356,54.09363213976622,7.6796915,8.897800522695185,6.461582477304815,0.6754244445233553,0.0013841125268225496,1
2008-10-29,7.92416,8.51339,7.92416,8.04682,22868690.577361,2,29,10,7.531717857142858,7.7831903859032545,-0.3442590301487858,25.52467352081857,49.19066806180037,81.29402661342381,6.974858285386111,573217171.9140966,59.67818601378789,7.635263999999999,8.72499118979404,6.545536810205959,0.6692676984859727,0.04535184811973969,1
2008-10-30,8.27759,8.67919,8.07361,8.42016,24030413.847855,3,30,10,7.6616285714285715,7.868119667782821,-0.26585167114717034,24.638535161693344,52.55021759181128,88.48535497895149,11.35067655491255,597247585.7619516,66.98707685084008,7.6259755,8.685189403184534,6.566761596815465,0.6666321485941175,-0.001204978345676242,0
2008-10-31,8.40283,8.57021,8.24048,8.41002,22225190.386743,4,31,10,7.725047142857143,7.9403730454117785,-0.20220064433795848,23.81569239964849,52.44878183247042,88.03460216841438,25.99903815469528,575022395.3752086,66.39354439520383,7.615638,8.639413876070742,6.591862123929257,0.6425677094088232,-0.014051860022158288,0
2008-11-03,8.40283,8.41002,8.04485,8.29267,16544303.057981,0,3,11,7.777249285714285,7.987345972690208,-0.15938857895367242,22.664774996482073,51.216648949894015,82.818049671715,14.809856346982397,558478092.3172276,59.10051168745478,7.630608,8.684350815465148,6.576865184534852,0.6227535873081929,0.015922874639786977,1
2008-11-04,8.40283,8.62848,8.1372,8.42577,18930538.478749,1,4,11,7.902327857142857,8.045802509664847,-0.11341230460468843,21.954991331918496,52.5774257984381,88.73473597176348,13.172475208426512,577408630.7959766,68.70368999373413,7.6648700000000005,8.773796658801391,6.55594334119861,0.6133626167861791,-0.02890125069923881,0
